college_name,college_link,duration,fees,rank,placement,c_type
"Indian Institute of Technology (IIT), Kanpur",https://www.collegesearch.in/colleges/indian-institute-of-technology-iit-kanpur,4 Years,"Rs 8,76,186/-",,"Average -Rs.
                                10 L.P.A/-Highest -Rs.
                                100 L.P.A/-",Autonomous
"Indian Institute of Technology, Chennai",https://www.collegesearch.in/colleges/indian-institute-of-technology-iit-madras-chennai,4 Years,"Rs 8,74,950/-",,"Average -Rs.
                                8 L.P.A/-Highest -Rs.
                                95.8 L.P.A/-",Autonomous
"Indian Institute of Technology (IIT), Kharagpur",https://www.collegesearch.in/colleges/indian-institute-of-technology-iit-kharagpur,4 Years,"Rs 10,65,980/-",,"Average -Rs.
                                10 L.P.A/-Highest -Rs.
                                42 L.P.A/-",Autonomous
"Indian Institute of Technology Bombay, Mumbai",https://www.collegesearch.in/colleges/indian-institute-of-technology-bombay-iit-bombay-mumbai,4 Years,"Rs 9,12,000/-",,"Average -Rs.
                                10 L.P.A/-Highest -Rs.
                                182 L.P.A/-",Autonomous
"Indian Institute of Technology (IIT), Roorkee",https://www.collegesearch.in/colleges/indian-institute-of-technology-iit-roorkee,4 Years,"Rs 6,28,120/-",,"Average -Rs.
                                10 L.P.A/-Highest -Rs.
                                80 L.P.A/-",Autonomous
"Indian Institute of Technology, Delhi",https://www.collegesearch.in/colleges/indian-institute-of-technology-iit-delhi,4 Years,"Rs 9,95,600/-",,"Average -Rs.
                                17.53 L.P.A/-Highest -Rs.
                                27.07 L.P.A/-",Autonomous
"Indian Institute of Technology (IIT), Guwahati",https://www.collegesearch.in/colleges/indian-institute-of-technology-iit-guwahati,4 Years,"Rs 10,29,850/-",,"Average -Rs.
                                14.6 L.P.A/-",Autonomous
"Institute of Chemical Technology (ICT), Mumbai",https://www.collegesearch.in/university/institute-of-chemical-technology-ict-mumbai,4 Years,"Rs 3,24,000/-",,"Average -Rs.
                                6 L.P.A/-Highest -Rs.
                                10 L.P.A/-",Deemed
"Indian Institute of Technology (Indian School of Mines) (ISM), Dhanbad",https://www.collegesearch.in/colleges/indian-school-of-mines-ism-dhanbad,4 Years,"Rs 9,04,100/-",,"Average -Rs.
                                32 L.P.A/-",Deemed
"National Institute of Technology (NIT), Trichy",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-trichy,4 Years,"Rs 6,86,050/-",,"Average -Rs.
                                9 L.P.A/-Highest -Rs.
                                70 L.P.A/-",Autonomous
"Indian Institute of Technology- Banaras Hindu University, Varanasi",https://www.collegesearch.in/colleges/indian-institute-of-technology-banaras-hindu-university-iit-bhu-varanasi,4 Years,"Rs 4,07,600/-",,"Average -Rs.
                                9.6 L.P.A/-Highest -Rs.
                                200 L.P.A/-",Autonomous
"Indian Institute of Technology, Hyderabad",https://www.collegesearch.in/colleges/indian-institute-of-technology-hyderabad-iit-hyderabad,4 Years,"Rs 7,11,040/-",,"Average -Rs.
                                10 L.P.A/-Highest -Rs.
                                35 L.P.A/-",Autonomous
"International Institute of Information Technology (IIIT), Hyderabad",https://www.collegesearch.in/university/international-institute-of-information-technology-iiit-hyderabad,4 Years,"Rs 9,97,000/-",,"Average -Rs.
                                6.52 L.P.A/-Highest -Rs.
                                8.4 L.P.A/-",Deemed
"Birla Institute of Technology and Science - BITS, Pilani",https://www.collegesearch.in/university/bits-pilani-birla-institute-of-technology-science-pilani,4 Years,"Rs 19,12,900/-",,,Deemed
"Vellore Institute of Technology - VIT University, Vellore",https://www.collegesearch.in/university/vellore-institute-of-technology-vit-vellore,4 Years,"Rs 7,83,000/-",,,Deemed
"Delhi Technological University (DTU), Delhi",https://www.collegesearch.in/university/delhi-technological-university-dtu-delhi,4 Years,"Rs 9,31,400/-",,"Average -Rs.
                                25 L.P.A/-Highest -Rs.
                                39 L.P.A/-",State University
"JNTUH College of Engineering (JNTUH CE), Hyderabad",https://www.collegesearch.in/colleges/jntuh-college-of-engineering-hyderabad-jntuh-ce-hyderabad,4 Years,"Rs 45,940/-",,,Autonomous
"National Institute of Technology (NIT) - Surathkal, Mangalore",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-surathkal-mangalore,4 Years,"Rs 5,46,454/-",,"Average -Rs.
                                13.8 L.P.A/-Highest -Rs.
                                31 L.P.A/-",Autonomous
"Manipal University - Manipal Academy of Higher Education, Manipal",https://www.collegesearch.in/university/manipal-university-manipal,4 Years,"Rs 15,40,000/-",,"Average -Rs.
                                5 L.P.A/-Highest -Rs.
                                16 L.P.A/-",State Private University
"College of Engineering (COEP), Pune",https://www.collegesearch.in/colleges/college-of-engineering-coep-pune,4 Years,"Rs 3,62,400/-",,"Average -Rs.
                                3.00 L.P.A/-Highest -Rs.
                                29.5 L.P.A/-",Autonomous
"Birla Institute of Technology & Science, Goa, South goa",https://www.collegesearch.in/colleges/birla-institute-of-technology-science-bits-goa,4 Years,"Rs 16,32,500/-",,,
"Manipal University - Manipal Academy of Higher Education, Manipal",https://www.collegesearch.in/university/manipal-university-manipal,4 Years,"Rs 15,40,000/-",,"Average -Rs.
                                5 L.P.A/-Highest -Rs.
                                16 L.P.A/-",State Private University
"National Institute of Technology (NIT), Agartala",https://www.collegesearch.in/colleges/national-institute-of-technology-nit-agartala,4 Years,"Rs 5,46,000/-",,"Average -Rs.
                                9 L.P.A/-Highest -Rs.
                                36 L.P.A/-",Autonomous
